year,state,state_po,state_fips,state_ev_total,ev_dem,ev_rep
2024,Alabama,AL,01,9,,9
2024,Alaska,AK,02,3,,3
2024,Arizona,AZ,04,11,,11
2024,Arkansas,AR,05,6,,6
2024,California,CA,06,54,54,
2024,Colorado,CO,08,10,10,
2024,Connecticut,CT,09,7,7,
2024,Delaware,DE,10,3,3,
2024,District of Columbia,DC,11,3,3,
2024,Florida,FL,12,30,,30
2024,Georgia,GA,13,16,,16
2024,Hawaii,HI,15,4,4,
2024,Idaho,ID,16,4,,4
2024,Illinois,IL,17,19,19,
2024,Indiana,IN,18,11,,11
2024,Iowa,IA,19,6,,6
2024,Kansas,KS,20,6,,6
2024,Kentucky,KY,21,8,,8
2024,Louisiana,LA,22,8,,8
2024,Maine,ME,23,4,3,1
2024,Maryland,MD,24,10,10,
2024,Massachusetts,MA,25,11,11,
2024,Michigan,MI,26,15,,15
2024,Minnesota,MN,27,10,10,
2024,Mississippi,MS,28,6,,6
2024,Missouri,MO,29,10,,10
2024,Montana,MT,30,4,,4
2024,Nebraska,NE,31,5,1,4
2024,Nevada,NV,32,6,,6
2024,New Hampshire,NH,33,4,4,
2024,New Jersey,NJ,34,14,14,
2024,New Mexico,NM,35,5,5,
2024,New York,NY,36,28,28,
2024,North Carolina,NC,37,16,,16
2024,North Dakota,ND,38,3,,3
2024,Ohio,OH,39,17,,17
2024,Oklahoma,OK,40,7,,7
2024,Oregon,OR,41,8,8,
2024,Pennsylvania,PA,42,19,,19
2024,Rhode Island,RI,44,4,4,
2024,South Carolina,SC,45,9,,9
2024,South Dakota,SD,46,3,,3
2024,Tennessee,TN,47,11,,11
2024,Texas,TX,48,40,,40
2024,Utah,UT,49,6,,6
2024,Vermont,VT,50,3,3,
2024,Virginia,VA,51,13,13,
2024,Washington,WA,53,12,12,
2024,West Virginia,WV,54,4,,4
2024,Wisconsin,WI,55,10,,10
2024,Wyoming,WY,56,3,,3
2024,Total,,,538,226,312
2020,Alabama,AL,01,9,,9
2020,Alaska,AK,02,3,,3
2020,Arizona,AZ,04,11,11,
