year,state,state_po,state_fips,dem,other,rep,totalvotes,dem_pct,rep_pct,other_pct,d_r_diff
1976,ALASKA,AK,02,44058,7961,71555,123574,35.65,57.9,6.44,-22.25
1976,ALABAMA,AL,01,659170,19610,504070,1182850,55.73,42.61,1.66,13.12
1976,ARKANSAS,AR,05,498604,1028,267903,767535,64.96,34.9,0.13,30.06
1976,ARIZONA,AZ,04,295602,28475,418642,742719,39.8,56.37,3.83,-16.57
1976,CALIFORNIA,CA,06,3742284,179242,3882244,7803770,47.95,49.75,2.3,-1.8
1976,COLORADO,CO,08,460801,36361,584278,1081440,42.61,54.03,3.36,-11.42
1976,CONNECTICUT,CT,09,647895,19199,719261,1386355,46.73,51.88,1.38,-5.15
1976,DISTRICT OF COLUMBIA,DC,11,137818,3139,27873,168830,81.63,16.51,1.86,65.12
1976,DELAWARE,DE,10,122461,3401,109780,235642,51.97,46.59,1.44,5.38
1976,FLORIDA,FL,12,1636000,45100,1469531,3150631,51.93,46.64,1.43,5.29
1976,GEORGIA,GA,13,979409,0,483743,1463152,66.94,33.06,0.0,33.88
1976,HAWAII,HI,15,147375,3923,140003,291301,50.59,48.06,1.35,2.53
1976,IOWA,IA,19,619931,26508,632864,1279303,48.46,49.47,2.07,-1.01
1976,IDAHO,ID,16,126549,10232,204151,340932,37.12,59.88,3.0,-22.76
1976,ILLINOIS,IL,17,2271295,85718,2364269,4721282,48.11,50.08,1.82,-1.97
1976,INDIANA,IN,18,1014714,21690,1183958,2220362,45.7,53.32,0.98,-7.62
1976,KANSAS,KS,20,430421,24672,502752,957845,44.94,52.49,2.58,-7.55
1976,KENTUCKY,KY,21,615717,19573,531852,1167142,52.75,45.57,1.68,7.18
1976,LOUISIANA,LA,22,661365,28572,587446,1277383,51.77,45.99,2.24,5.78
1976,MASSACHUSETTS,MA,25,1429475,87807,1030276,2547558,56.11,40.44,3.45,15.67
1976,MARYLAND,MD,24,759612,0,672661,1432273,53.04,46.96,0.0,6.08
1976,MAINE,ME,23,232279,14369,236320,482968,48.09,48.93,2.98,-0.84
1976,MICHIGAN,MI,26,1696714,61134,1893742,3651590,46.47,51.86,1.67,-5.39
1976,MINNESOTA,MN,27,1070440,60096,819395,1949931,54.9,42.02,3.08,12.88
1976,MISSOURI,MO,29,998387,27770,927443,1953600,51.1,47.47,1.42,3.63
1976,MISSISSIPPI,MS,28,381329,20215,366846,768390,49.63,47.74,2.63,1.89
1976,MONTANA,MT,30,149259,5772,173703,328734,45.4,52.84,1.76,-7.44
1976,NORTH CAROLINA,NC,37,927365,8581,741960,1677906,55.27,44.22,0.51,11.05
1976,NORTH DAKOTA,ND,38,136078,7546,153684,297308,45.77,51.69,2.54,-5.92
1976,NEBRASKA,NE,31,233293,14237,359219,606749,38.45,59.2,2.35,-20.75
1976,NEW HAMPSHIRE,NH,33,147645,6047,185935,339627,43.47,54.75,1.78,-11.28
1976,NEW JERSEY,NJ,34,1444653,60131,1509688,3014472,47.92,50.08,1.99,-2.16
1976,NEW MEXICO,NM,35,201148,4023,211419,416590,48.28,50.75,0.97,-2.47
1976,NEVADA,NV,32,92479,8124,101273,201876,45.81,50.17,4.02,-4.36
1976,NEW YORK,NY,36,3244165,598184,2825913,6668262,48.65,42.38,8.97,6.27
1976,OHIO,OH,39,2009959,99871,2000626,4110456,48.9,48.67,2.43,0.23
1976,OKLAHOMA,OK,40,532442,14101,545708,1092251,48.75,49.96,1.29,-1.21
1976,OREGON,OR,41,490407,47349,492120,1029876,47.62,47.78,4.6,-0.16
1976,PENNSYLVANIA,PA,42,2328677,86506,2205604,4620787,50.4,47.73,1.87,2.67
1976,RHODE ISLAND,RI,44,227636,1699,181249,410584,55.44,44.14,0.41,11.3
1976,SOUTH CAROLINA,SC,45,450807,5627,346149,802583,56.17,43.13,0.7,13.04
1976,SOUTH DAKOTA,SD,46,147068,2105,151505,300678,48.91,50.39,0.7,-1.48
1976,TENNESSEE,TN,47,825879,16498,633969,1476346,55.94,42.94,1.12,13.0
1976,TEXAS,TX,48,2082319,36265,1953300,4071884,51.14,47.97,0.89,3.17
1976,UTAH,UT,49,182110,21200,337908,541218,33.65,62.43,3.92,-28.78
1976,VIRGINIA,VA,51,813896,46644,836554,1697094,47.96,49.29,2.75,-1.33
1976,VERMONT,VT,50,77798,5717,100387,183902,42.3,54.59,3.11,-12.29
1976,WASHINGTON,WA,53,717323,60479,777732,1555534,46.11,50.0,3.89,-3.89
1976,WISCONSIN,WI,55,1040232,56117,1004987,2101336,49.5,47.83,2.67,1.67
1976,WEST VIRGINIA,WV,54,435864,0,314726,750590,58.07,41.93,0.0,16.14
1976,WYOMING,WY,56,62239,1387,92717,156343,39.81,59.3,0.89,-19.49
1980,ALASKA,AK,02,41842,30491,86112,158445,26.41,54.35,19.24,-27.94
1980,ALABAMA,AL,01,636730,51007,654192,1341929,47.45,48.75,3.8,-1.3
1980,ARKANSAS,AR,05,398041,36377,403164,837582,47.52,48.13,4.34,-0.61
1980,ARIZONA,AZ,04,246843,97414,529688,873945,28.24,60.61,11.15,-32.37
1980,CALIFORNIA,CA,06,3082943,977001,4522994,8582938,35.92,52.7,11.38,-16.78
1980,COLORADO,CO,08,368009,164177,652264,1184450,31.07,55.07,13.86,-24.0
1980,CONNECTICUT,CT,09,541732,187343,677210,1406285,38.52,48.16,13.32,-9.64
1980,DISTRICT OF COLUMBIA,DC,11,130231,20345,23313,173889,74.89,13.41,11.7,61.48
1980,DELAWARE,DE,10,105754,18662,111252,235668,44.87,47.21,7.92,-2.34
1980,FLORIDA,FL,12,1419475,220501,2046951,3686927,38.5,55.52,5.98,-17.02
1980,GEORGIA,GA,13,890955,51682,654168,1596805,55.8,40.97,3.24,14.83
1980,HAWAII,HI,15,135879,37296,130112,303287,44.8,42.9,12.3,1.9
1980,IOWA,IA,19,508672,132963,676026,1317661,38.6,51.31,10.09,-12.71
1980,IDAHO,ID,16,110192,36540,290699,437431,25.19,66.46,8.35,-41.27
1980,ILLINOIS,IL,17,1981413,410259,2358049,4749721,41.72,49.65,8.64,-7.93
1980,INDIANA,IN,18,844197,142180,1255656,2242033,37.65,56.01,6.34,-18.36
1980,KANSAS,KS,20,326150,86833,566812,979795,33.29,57.85,8.86,-24.56
1980,KENTUCKY,KY,21,617417,42936,635274,1295627,47.65,49.03,3.31,-1.38
1980,LOUISIANA,LA,22,708453,47285,792853,1548591,45.75,51.2,3.05,-5.45
1980,MASSACHUSETTS,MA,25,1053802,412657,1057631,2524090,41.75,41.9,16.35,-0.15
1980,MARYLAND,MD,24,726161,133729,680606,1540496,47.14,44.18,8.68,2.96
1980,MAINE,ME,23,220974,63515,238522,523011,42.25,45.61,12.14,-3.36
1980,MICHIGAN,MI,26,1661532,332968,1915225,3909725,42.5,48.99,8.52,-6.49
1980,MINNESOTA,MN,27,954173,224475,873268,2051916,46.5,42.56,10.94,3.94
1980,MISSOURI,MO,29,931182,94461,1074181,2099824,44.35,51.16,4.5,-6.81
1980,MISSISSIPPI,MS,28,429281,21380,441089,891750,48.14,49.46,2.4,-1.32
1980,MONTANA,MT,30,118032,39106,206814,363952,32.43,56.82,10.74,-24.39
1980,NORTH CAROLINA,NC,37,875635,65180,915018,1855833,47.18,49.3,3.51,-2.12
1980,NORTH DAKOTA,ND,38,79189,28232,193695,301116,26.3,64.33,9.38,-38.03
1980,NEBRASKA,NE,31,166424,53895,419214,639533,26.02,65.55,8.43,-39.53
1980,NEW HAMPSHIRE,NH,33,108864,53421,221705,383990,28.35,57.74,13.91,-29.39
1980,NEW JERSEY,NJ,34,1147364,281763,1546557,2975684,38.56,51.97,9.47,-13.41
1980,NEW MEXICO,NM,35,167826,37632,250779,456237,36.78,54.97,8.25,-18.19
1980,NEVADA,NV,32,66666,22009,155017,243692,27.36,63.61,9.03,-36.25
1980,NEW YORK,NY,36,2728372,835887,2637700,6201959,43.99,42.53,13.48,1.46
1980,OHIO,OH,39,1752414,324644,2206545,4283603,40.91,51.51,7.58,-10.6
1980,OKLAHOMA,OK,40,402026,52112,695570,1149708,34.97,60.5,4.53,-25.53
1980,OREGON,OR,41,456890,153582,571044,1181516,38.67,48.33,13.0,-9.66
1980,PENNSYLVANIA,PA,42,1937540,362089,2261872,4561501,42.48,49.59,7.94,-7.11
1980,RHODE ISLAND,RI,44,198342,62832,154793,415967,47.68,37.21,15.11,10.47
1980,SOUTH CAROLINA,SC,45,428220,20761,439277,888258,48.21,49.45,2.34,-1.24
1980,SOUTH DAKOTA,SD,46,103855,25505,198343,327703,31.69,60.53,7.78,-28.84
1980,TENNESSEE,TN,47,783051,46804,787761,1617616,48.41,48.7,2.89,-0.29
1980,TEXAS,TX,48,1881147,149784,2510705,4541636,41.42,55.28,3.3,-13.86
1980,UTAH,UT,49,124266,40199,439687,604152,20.57,72.78,6.65,-52.21
